,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,final c data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ddmin,,,,,,,,,"probdd, shuffle",,,,,,,,probdd,,,,,,,,cdd shuffle,,,,,,,,cdd,,,,,,
,,,,"ddmin, average",,,,,,,,,"probdd, shuffle, average",,,,,,,,"probdd, average",,,,,,,,"cdd, shuffle, average",,,,,,,,"cdd, average",,,,
,,,time/s,size,# iteration,# test,time/h,time/format,,,,time/s,size,# iteration,# test,time/h,time/format,,,time/s,size,# iteration,# test,time/h,time/format,,,time/s,size,# iteration,# test,time/h,time/format,,,time/s,size,# iteration,# test,time/h,time/format
,\llvm-22382,,1917,350,4,11388,0.533,0:31:57,,,,1163.2,353.2,4.8,5973.4,0.323,0:19:23,,,883.5,367,4,5461,0.245,0:14:44,,,824.4,356.8,3.8,4995.8,0.229,0:13:44,,,1005.4,350,4,5262,0.279,0:16:45
,\llvm-22704,,27924,786,4,52412,7.757,7:45:24,,,,12418,763.8,4.2,15424.6,3.449,3:26:58,,,10364.5,788,4,15973,2.879,2:52:45,,,10611,771.6,4,16075.6,2.948,2:56:51,,,11371.4,745,3,14025,3.159,3:09:31
,\llvm-23309,,17618.8,1316,4,55968,4.894,4:53:39,,,,9990.6,1338,4.2,19194.6,2.775,2:46:31,,,10694.5,1270,4,17638,2.971,2:58:15,,,10519.2,1289.4,4.6,20397,2.922,2:55:19,,,10827.8,1265,4,17953,3.008,3:00:28
,\llvm-23353,,3116.8,321,3,11719,0.866,0:51:57,,,,1874.2,336,3.6,5756.8,0.521,0:31:14,,,1127.25,324,3,4199,0.313,0:18:47,,,1468.4,326,3.2,5362.4,0.408,0:24:28,,,1399.6,324,3,4492,0.389,0:23:20
,\llvm-25900,,7258,941,4,35740,2.016,2:00:58,,,,3682.8,932.4,4,12552.6,1.023,1:01:23,,,3276.5,921,5,15026,0.910,0:54:37,,,2736.6,936.4,3.8,12234,0.760,0:45:37,,,3103.8,937,4,12817,0.862,0:51:44
,\llvm-26760,,13123,520,4,30063,3.645,3:38:43,,,,5875.8,503,4.8,9260.6,1.632,1:37:56,,,4818.5,498,5,9530,1.338,1:20:19,,,4543,510.2,4.6,9380.8,1.262,1:15:43,,,5210.4,498,5,9792,1.447,1:26:50
,\llvm-27137,,63971,972,4,122516,17.770,17:46:11,,,,22207.6,1040.2,4.4,22292.4,6.169,6:10:08,,,21214.5,919,4,19886,5.893,5:53:35,,,21000.8,1099.2,4.8,24393.4,5.834,5:50:01,,,23153.8,966,4,20460,6.432,6:25:54
,\llvm-27747,,6544.6,431,5,20000,1.818,1:49:05,,,,4238.4,463.2,4.8,8192.6,1.177,1:10:38,,,2472,509,3,5862,0.687,0:41:12,,,3070.6,427.6,5,8024.6,0.853,0:51:11,,,2932.2,510,3,5992,0.815,0:48:52
,\llvm-31259,,13814.6,1033,4,35135,3.837,3:50:15,,,,7496.6,965.2,3.4,10775.6,2.082,2:04:57,,,8200,1035,4,13210,2.278,2:16:40,,,6813.8,961,3.6,11562,1.893,1:53:34,,,8205.2,1035,4,13445,2.279,2:16:45
,\gcc-59903,,9067.2,1185,5,47698,2.519,2:31:07,,,,4879,845.4,5,15724.8,1.355,1:21:19,,,3278.25,1206,4,15396,0.911,0:54:38,,,3598.6,1017.4,5,17321.4,1.000,0:59:59,,,3587,743,5,13844,0.996,0:59:47
,\gcc-60116,,44287.4,1615,4,80059,12.302,12:18:07,,,,27201.6,1627.8,4.8,27268.4,7.556,7:33:22,,,40627.25,1772,6,34430,11.285,11:17:07,,,22356,1580,4.4,24862,6.210,6:12:36,,,27195.2,1617,4,23204,7.554,7:33:15
,\gcc-61383,,12579.4,959,4,43716,3.494,3:29:39,,,,6514.2,965.8,4,13593.4,1.810,1:48:34,,,6112.75,955,4,13712,1.698,1:41:53,,,5517.6,961.6,4,13786.6,1.533,1:31:58,,,6566,974,4,14149,1.824,1:49:26
,\gcc-61917,,6740.4,882,5,31414,1.872,1:52:20,,,,3590.8,907.8,4.4,12908,0.997,0:59:51,,,2749.5,923,4,12037,0.764,0:45:50,,,2882.8,911,4.6,13646.4,0.801,0:48:03,,,2952.8,884,5,14194,0.820,0:49:13
,\gcc-64990,,21633.4,744,4,44521,6.009,6:00:33,,,,11890,876.4,4.8,16074,3.303,3:18:10,,,10454.5,709,4,11965,2.904,2:54:15,,,11219.6,969.8,4.8,18262,3.117,3:07:00,,,11118.8,681,4,12112,3.089,3:05:19
,\gcc-65383,,5132.4,706,3,25051,1.426,1:25:32,,,,3542.6,701.2,3.6,8591.2,0.984,0:59:03,,,3107.5,700,4,9309,0.863,0:51:48,,,2812.2,704.8,3.6,8802,0.781,0:46:52,,,3358.4,709,4,9686,0.933,0:55:58
,\gcc-66186,,14279.6,1012,5,47253,3.967,3:58:00,,,,7236,980.8,4,12741,2.010,2:00:36,,,8345,1008,4,13025,2.318,2:19:05,,,7234.2,989.6,4.6,14941.2,2.010,2:00:34,,,12478.2,1001,6,19094,3.466,3:27:58
,\gcc-66375,,23575.8,1128,4,47339,6.549,6:32:56,,,,14182,1140.6,4,15690.4,3.939,3:56:22,,,23181.5,1202,4,16120,6.439,6:26:22,,,14338.4,1159,4,16146.4,3.983,3:58:58,,,23228.6,1204,4,16469,6.452,6:27:09
,\gcc-70127,,36390.4,934,4,54925,10.108,10:06:30,,,,23924.6,973.4,4,15387.6,6.646,6:38:45,,,23663.75,931,4,14805,6.573,6:34:24,,,21113.4,949.2,4,15403.2,5.865,5:51:53,,,24142.6,930,4,15219,6.706,6:42:23
,\gcc-70586,,28858.6,1583,6,102603,8.016,8:00:59,,,,13519.4,1560.6,4.6,24716.4,3.755,3:45:19,,,14717,1585,5,26726,4.088,4:05:17,,,13947.5,1977.6,4,21920.4,3.874,3:52:28,,,15818.4,1572,6,30715,4.394,4:23:38
,\gcc-71626,,119.4,184,2,1608,0.033,0:01:59,,,,114.2,184,2,1156.4,0.032,0:01:54,,,110.25,184,2,1196,0.031,0:01:50,,,107.8,184,2,1179.2,0.030,0:01:48,,,98.8,184,2,1220,0.027,0:01:39
,,,10486.16387,777.3900244,4.005909959,34012.56134,2.913,2:54:46,,,,5828.484147,775.1458244,4.100507319,11651.85298,1.619,1:37:08,,,5374.812509,786.133473,3.961463719,11402.08079,1.493,1:29:35,,,5007.145599,792.3853591,4.047416805,11824.24296,1.391,1:23:27,,,5676.226415,759.8566803,3.984862211,11511.98256,1.577,1:34:36
,,,357951.8,17602,82,901128,99.43105556,99:25:52,,,,185541.6,17458.8,83.4,273274.8,51.53933333,51:32:22,,,199398.5,17806,81,275506,55.38847222,55:23:19,,,166715.9,18082.2,82.4,278696.4,46.30997222,46:18:36,,,197754.4,17129,82,274144,54.93177778,54:55:54
,,,,,,,,,,,,p-value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.4223827965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,final debloat data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ddmin,,,,,,,,,"probdd, shuffle",,,,,,,,probdd,,,,,,,,cdd shuffle,,,,,,,,cdd,,,,,,
,,,,"ddmin, average",,,,,,,,,"probdd, p=0.1, shuffle, average",,,,,,,,"probdd, p=0.1, average",,,,,,,,,,,,,,,,"cdd, p=0.1, average",,,,
,,,time/s,size,# test,time/h,time/format,,,,,time/s,size,# test,time/h,time/format,,,,time/s,size,# test,time/h,time/format,,,,,,,,,,,,time/s,size,# test,time/h,time/format,
,bzip2-1.0.5,,137463,20710,54034,38.184,38:11:03,,,,,105782,20747,23240.4,29.384,29:23:02,,,,105924,20830,25533.2,29.423,29:25:24,,,,,,,,,,,,92058.4,20756,19846,25.572,25:34:18,
,chown-8.2,,38902.4,9087.2,50487.4,10.806,10:48:22,,,,,25616.2,9302.8,8277.6,7.116,7:06:56,,,,29007.8,9086,7005.8,8.058,8:03:28,,,,,,,,,,,,7625,9310.2,8207.6,2.118,2:07:05,
,date-8.21,,115292.4,20604,139934,32.026,32:01:32,,,,,16486,20738,14235.4,4.579,4:34:46,,,,16538,20665.6,14679.2,4.594,4:35:38,,,,,,,,,,,,15378.2,21120,13927.6,4.272,4:16:18,
,grep-2.19,,97821.4,28723.4,277130.4,27.173,27:10:21,,,,,85694.4,28627,42245.8,23.804,23:48:14,,,,59070.8,28805.6,40444.8,16.409,16:24:31,,,,,,,,,,,,93551.6,28989.6,37607,25.987,25:59:12,
,gzip-1.2.4,,73402.6,17065.2,147034.6,20.390,20:23:23,,,,,55519.6,17068.2,27569,15.422,15:25:20,,,,62352.4,17060.2,26861.6,17.320,17:19:12,,,,,,,,,,,,75913.2,17077,61031.6,21.087,21:05:13,
,mkdir-5.2.1,,3227.2,8625,11969,0.896,0:53:47,,,,,2428.4,8782.2,2835.6,0.675,0:40:28,,,,1987.8,8418,2203,0.552,0:33:08,,,,,,,,,,,,1877,8418,2099,0.521,0:31:17,
,rm-8.4,,12087.2,8507,33171.4,3.358,3:21:27,,,,,5007.6,8466.8,5096.6,1.391,1:23:28,,,,5685.2,8482,5368,1.579,1:34:45,,,,,,,,,,,,5109,8461,5056.6,1.419,1:25:09,
,sort-8.16,,60631.2,14892.8,119150.2,16.842,16:50:31,,,,,61738.8,14843,18711.2,17.150,17:08:59,,,,41519.4,14852.2,14559,11.533,11:31:59,,,,,,,,,,,,21948.4,15834.2,7913.6,6.097,6:05:48,
,tar-1.14,,115234.4,20411.4,200394.2,32.010,32:00:34,,,,,95765.4,20712.6,14384,26.602,26:36:05,,,,83470.4,20510.4,12673.6,23.186,23:11:10,,,,,,,,,,,,77910.4,20592.2,12095,21.642,21:38:30,
,uniq-8.16,,21671.6,14350,25886,6.020,6:01:12,,,,,23177.4,14262,4228,6.438,6:26:17,,,,24419.8,14354,4531.6,6.783,6:47:00,,,,,,,,,,,,19124.4,14354,3669,5.312,5:18:44,
,,,43827.11753,15080.4588,72139.70507,12.174,12:10:27,,,,,28505.07531,15151.50866,11802.56517,7.918,7:55:05,,,,26624.79227,15059.88348,11092.6933,7.396,7:23:45,,,,,,,,,,,,21781.93004,15234.74825,10685.59628,6.051,6:03:02,
,,,675733.4,162976,1059191.2,187.704,187:42:13,,,,,477215.8,163549.6,160823.6,132.560,132:33:36,,,,429975.6,163064,153859.8,119.438,119:26:16,,,,,,,,,,,,410495.6,164912.2,171453,114.027,114:01:36,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,final xml data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ddmin,,,,,,,,,"probdd, shuffle",,,,,,,,probdd,,,,,,,,,,,,,,,,cdd,,,,,,
,,,2024.12.9,,,,,,,,,2024.12.9,,,,,,,,2024.12.9,,,,,,,,,,,,,,,,2024.12.9,,,,,
,,,time/s,size,# iteration,# test,time/h,time/format,,,,time/s,size,# iteration,# test,time/h,time/format,,,time/s,size,# iteration,# test,time/h,time/format,,,,,,,,,,,time/s,size,# iteration,# test,time/h,time/format
,xml-071d221-1,,72.5,10,2,29,0.020,0:01:13,,,,114.4,14.8,2,49.8,0.032,0:01:54,,,123.8,17,2,48,0.034,0:02:04,,,,,,,,,,,144,20,2,69,0.040,0:02:24
,xml-071d221-2,,155,13,2,60,0.043,0:02:35,,,,146.2,14.4,2.4,68.6,0.041,0:02:26,,,157.6,13,3,75,0.044,0:02:38,,,,,,,,,,,242.6,20,3,117,0.067,0:04:03
,xml-1e9bc83-1,,490.5,38,3,235,0.136,0:08:11,,,,521.6,49.2,3,235.8,0.145,0:08:42,,,239.4,24,3,94,0.067,0:03:59,,,,,,,,,,,284.4,24,4,115,0.079,0:04:44
,xml-1e9bc83-2,,1391,79,3,725,0.386,0:23:11,,,,814.4,77.8,2.8,390.4,0.226,0:13:34,,,842.8,76,3,385,0.234,0:14:03,,,,,,,,,,,867,76,3,384,0.241,0:14:27
,xml-1e9bc83-3,,1312.5,69,3,619,0.365,0:21:53,,,,892.8,69.6,3.4,415.6,0.248,0:14:53,,,849.2,72,3,397,0.236,0:14:09,,,,,,,,,,,889.4,72,3,404,0.247,0:14:49
,xml-1e9bc83-4,,3911,156,3,1943,1.086,1:05:11,,,,1939.4,139.2,3.8,935.4,0.539,0:32:19,,,1941.2,136,4,910,0.539,0:32:21,,,,,,,,,,,2521.2,143,5,1173,0.700,0:42:01
,xml-1e9bc83-5,,1354.5,81,2,746,0.376,0:22:35,,,,929.2,73.2,3.6,485.2,0.258,0:15:29,,,1022.6,72,4,510,0.284,0:17:03,,,,,,,,,,,882,75,3,428,0.245,0:14:42
,xml-1e9bc83-6,,3562.5,127,3,1907,0.990,0:59:23,,,,1851.8,125.8,4,964.4,0.514,0:30:52,,,1913,124,4,956,0.531,0:31:53,,,,,,,,,,,1548.2,124,3,749,0.430,0:25:48
,xml-1e9bc83-7,,3419,111,5,1757,0.950,0:56:59,,,,1684.2,114,4,826.6,0.468,0:28:04,,,1691.4,111,4,759,0.470,0:28:11,,,,,,,,,,,2330,111,5,931,0.647,0:38:50
,xml-1e9bc83-8,,2861.5,100,3,1451,0.795,0:47:42,,,,1635.6,107.2,3.8,750.6,0.454,0:27:16,,,1439.4,107,3,624,0.400,0:23:59,,,,,,,,,,,1446.4,100,3,592,0.402,0:24:06
,xml-1e9bc83-9,,2849.5,128,4,1437,0.792,0:47:30,,,,1229.6,73,4.4,560.6,0.342,0:20:30,,,1930,128,4,818,0.536,0:32:10,,,,,,,,,,,2494,128,4,832,0.693,0:41:34
,xml-2d4ec80-1,,569.5,76,2,384,0.158,0:09:30,,,,522,71.8,2.4,304,0.145,0:08:42,,,422,69,2,234,0.117,0:07:02,,,,,,,,,,,791,76,3,354,0.220,0:13:11
,xml-327c8af-1,,863.5,55,3,527,0.240,0:14:24,,,,624.6,55,3,319.4,0.174,0:10:25,,,581.6,55,3,301,0.162,0:09:42,,,,,,,,,,,957.8,55,4,392,0.266,0:15:58
,xml-3398ac2-1,,344.5,45,2,225,0.096,0:05:45,,,,382.8,43.6,2.6,191.6,0.106,0:06:23,,,277.8,38,2,151,0.077,0:04:38,,,,,,,,,,,605.2,48,3,268,0.168,0:10:05
,xml-3398ac2-2,,613,48,3,358,0.170,0:10:13,,,,491.6,48,3,255.4,0.137,0:08:12,,,457.6,48,3,233,0.127,0:07:38,,,,,,,,,,,578.4,48,3,238,0.161,0:09:38
,xml-3398ac2-3,,632,62,2,347,0.176,0:10:32,,,,574.2,62,2.6,276.4,0.160,0:09:34,,,466.2,62,2,208,0.130,0:07:46,,,,,,,,,,,763.8,62,3,306,0.212,0:12:44
,xml-3398ac2-4,,1418.5,111,3,802,0.394,0:23:39,,,,1197,111.6,3,584,0.333,0:19:57,,,1264.6,125,3,605,0.351,0:21:05,,,,,,,,,,,1722,111,4,680,0.478,0:28:42
,xml-3398ac2-5,,849.5,44,3,507,0.236,0:14:10,,,,530.8,38,3.2,268.8,0.147,0:08:51,,,628.4,41,4,312,0.175,0:10:28,,,,,,,,,,,633.4,44,3,261,0.176,0:10:33
,xml-4c99b96-1,,1427,80,3,699,0.396,0:23:47,,,,1125.6,77.6,3.4,451.8,0.313,0:18:46,,,1313.2,74,4,446,0.365,0:21:53,,,,,,,,,,,1385.2,80,3,438,0.385,0:23:05
,xml-4c99b96-10,,1011.5,46,4,443,0.281,0:16:52,,,,760,46.6,3.6,298.8,0.211,0:12:40,,,888.8,46,4,291,0.247,0:14:49,,,,,,,,,,,872.8,46,3,256,0.242,0:14:33
,xml-4c99b96-11,,867.5,53,3,357,0.241,0:14:28,,,,660.8,53.6,2.8,252.2,0.184,0:11:01,,,823.8,53,3,250,0.229,0:13:44,,,,,,,,,,,791.2,53,3,236,0.220,0:13:11
,xml-4c99b96-12,,2429,102,5,1077,0.675,0:40:29,,,,1592,103.8,3.4,626,0.442,0:26:32,,,2116.6,102,4,646,0.588,0:35:17,,,,,,,,,,,2421.6,102,5,773,0.673,0:40:22
,xml-4c99b96-13,,1131.5,60,3,494,0.314,0:18:52,,,,870.2,60.6,3,334.8,0.242,0:14:30,,,987.6,60,3,304,0.274,0:16:28,,,,,,,,,,,989,60,3,309,0.275,0:16:29
,xml-4c99b96-14,,2147,102,4,987,0.596,0:35:47,,,,1687.4,102.6,3.4,600.2,0.469,0:28:07,,,2000.8,102,4,616,0.556,0:33:21,,,,,,,,,,,1534,102,3,504,0.426,0:25:34
,xml-4c99b96-15,,843,46,3,381,0.234,0:14:03,,,,788.4,46,3.6,296.6,0.219,0:13:08,,,707.6,46,3,226,0.197,0:11:48,,,,,,,,,,,729.4,46,3,244,0.203,0:12:09
,xml-4c99b96-16,,1366,67,3,658,0.379,0:22:46,,,,1188.6,67.6,3.2,414.4,0.330,0:19:49,,,1385.4,74,3,436,0.385,0:23:05,,,,,,,,,,,1124.6,70,3,409,0.312,0:18:45
,xml-4c99b96-17,,1360,67,3,658,0.378,0:22:40,,,,1309.6,67.6,3.2,414.4,0.364,0:21:50,,,1402,74,3,436,0.389,0:23:22,,,,,,,,,,,1120,70,3,409,0.311,0:18:40
,xml-4c99b96-18,,723.5,28,3,324,0.201,0:12:04,,,,491.6,28,2.8,164.2,0.137,0:08:12,,,485,25,3,135,0.135,0:08:05,,,,,,,,,,,410.2,25,3,137,0.114,0:06:50
,xml-4c99b96-19,,1729,81,4,793,0.480,0:28:49,,,,1797.8,82.2,3.8,539.6,0.499,0:29:58,,,1642.6,81,4,520,0.456,0:27:23,,,,,,,,,,,1894.8,81,6,710,0.526,0:31:35
,xml-4c99b96-2,,878,53,3,362,0.244,0:14:38,,,,1017.2,53.6,3.2,280.6,0.283,0:16:57,,,794.4,53,3,240,0.221,0:13:14,,,,,,,,,,,912,53,4,318,0.253,0:15:12
,xml-4c99b96-3,,1101.5,67,3,483,0.306,0:18:22,,,,1253.8,68.2,3.2,357.2,0.348,0:20:54,,,979.2,67,3,292,0.272,0:16:19,,,,,,,,,,,900,67,3,337,0.250,0:15:00
,xml-4c99b96-4,,1096.5,67,3,482,0.305,0:18:17,,,,1238.4,67,3.2,365.4,0.344,0:20:38,,,958,67,3,299,0.266,0:15:58,,,,,,,,,,,859.6,67,3,328,0.239,0:14:20
,xml-4c99b96-5,,1169.5,63,3,515,0.325,0:19:30,,,,1154.8,62.4,3,347,0.321,0:19:15,,,901,60,3,278,0.250,0:15:01,,,,,,,,,,,1029.2,60,4,364,0.286,0:17:09
,xml-4c99b96-6,,1258,81,3,511,0.349,0:20:58,,,,1338,82.2,2.8,380.8,0.372,0:22:18,,,1153.8,81,3,355,0.321,0:19:14,,,,,,,,,,,1056.2,87,3,441,0.293,0:17:36
,xml-4c99b96-7,,3398.5,115,3,1485,0.944,0:56:39,,,,2559.6,115,3.8,811,0.711,0:42:40,,,1980.8,115,3,701,0.550,0:33:01,,,,,,,,,,,1534.6,115,3,676,0.426,0:25:35
,xml-4c99b96-8,,925.5,42,3,422,0.257,0:15:26,,,,810.2,41.4,3,254.4,0.225,0:13:30,,,686.4,39,3,232,0.191,0:11:26,,,,,,,,,,,687.2,42,4,323,0.191,0:11:27
